Title,Info,Rating,IMG_URL
Shingeki no Kyojin Season 3,"TV (12 eps)
        Jul 2018 - Oct 2018
        1,952,239 members",8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1173/92110.jpg?s=410d006fea0608544e9861a6f261c692
Suzumiya Haruhi no Shoushitsu,"Movie (1 eps)
        Feb 2010 - Feb 2010
        559,124 members",8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1248/112352.jpg?s=e62fda44bb62e1b938570096c39f9d05
Death Note,"TV (37 eps)
        Oct 2006 - Jun 2007
        3,397,038 members",8.62,https://cdn.myanimelist.net/r/50x70/images/anime/9/9453.jpg?s=b89e80691ac5cc0610847ccbe0b8424a
Fruits Basket: Prelude,"Movie (1 eps)
        Feb 2022 - Feb 2022
        53,804 members",8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1034/120096.jpg?s=e71de341b6c0e5917e24da0be9af35dd
Mushishi Zoku Shou: Suzu no Shizuku,"Movie (1 eps)
        May 2015 - May 2015
        114,536 members",8.60,https://cdn.myanimelist.net/r/50x70/images/anime/9/72689.jpg?s=58cb067cc48352b42e376589c0b4dfcc
Ookami Kodomo no Ame to Yuki,"Movie (1 eps)
        Jul 2012 - Jul 2012
        733,856 members",8.59,https://cdn.myanimelist.net/r/50x70/images/anime/9/35721.jpg?s=3cb7f7062c2ef1c69ab18d7e3c04af2b
Hajime no Ippo: Rising,"TV (25 eps)
        Oct 2013 - Mar 2014
        214,835 members",8.59,https://cdn.myanimelist.net/r/50x70/images/anime/6/56147.jpg?s=7e50339d044aed8909d36bb9afa331d3
Kizumonogatari II: Nekketsu-hen,"Movie (1 eps)
        Aug 2016 - Aug 2016
        391,320 members",8.59,https://cdn.myanimelist.net/r/50x70/images/anime/1981/112812.jpg?s=be1337b450cee892a1083242c5e526c2
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"TV (39 eps)
        Oct 2018 - Jul 2019
        834,854 members",8.58,https://cdn.myanimelist.net/r/50x70/images/anime/1572/95010.jpg?s=88db8e76960fce4e7aaa69f71cfbb4cb
Natsume Yuujinchou Go,"TV (11 eps)
        Oct 2016 - Dec 2016
        163,279 members",8.58,https://cdn.myanimelist.net/r/50x70/images/anime/11/81755.jpg?s=54d7dafe4652b04b40d97d5d6d97d18d
Natsume Yuujinchou San,"TV (13 eps)
        Jul 2011 - Sep 2011
        229,485 members",8.58,https://cdn.myanimelist.net/r/50x70/images/anime/8/82394.jpg?s=f3bc38aa1e6c10580687828856d8dc28
Shouwa Genroku Rakugo Shinjuu,"TV (13 eps)
        Jan 2016 - Apr 2016
        264,726 members",8.58,https://cdn.myanimelist.net/r/50x70/images/anime/2/77907.jpg?s=29933c26544d4f41ce39d88c586914b7
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,"Movie (1 eps)
        Apr 2009 - Apr 2009
        193,806 members",8.57,https://cdn.myanimelist.net/r/50x70/images/anime/12/19698.jpg?s=1be69978bb463a9b8284565cbf1bfb2f
Yojouhan Shinwa Taikei,"TV (11 eps)
        Apr 2010 - Jul 2010
        390,166 members",8.57,https://cdn.myanimelist.net/r/50x70/images/anime/10/50457.jpg?s=e159597465fa4799df1f8128a8683750
